"MSB I.4 Commercial Banks: Deposits (excluding S$NCDs) of DBUs by Types of Non-bank Customers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S$ MILLION"
"END OF PERIOD","TOTAL DEPOSITS - TOTAL","TOTAL DEPOSITS - IN S$","TOTAL DEPOSITS - IN FOREIGN CURRENCIES","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - TOTAL","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - SAVINGS AND OTHER DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - TOTAL","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - TOTAL","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - TOTAL","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS"
2012 Feb,484040.7,479191.3,4849.4,19108.6,4118.4,14867.1,123.1,0.0,0.0,0.0,59334.1,15488.1,43422.8,423.2,0.0,0.0,0.0,357658.8,85857.3,117284.8,154516.7,0.0,0.0,0.0,47939.2,11907.6,21959.0,14072.7,0.0,0.0,0.0
2012 Mar,492554.8,487241.5,5313.3,19335.1,4710.4,14468.9,155.8,0.0,0.0,0.0,62815.7,15304.4,47006.0,505.4,0.0,0.0,0.0,363072.6,87251.1,119026.8,156794.7,0.0,0.0,0.0,47331.4,11629.3,20763.7,14938.4,0.0,0.0,0.0
2012 Apr,489563.7,484287.5,5276.2,19501.2,4142.3,15209.1,149.8,0.0,0.0,0.0,60627.1,16102.7,44111.0,413.3,0.0,0.0,0.0,360940.9,87587.1,118322.8,155031.0,0.0,0.0,0.0,48494.5,11550.1,22546.1,14398.4,0.0,0.0,0.0
2012 May,492993.8,487922.1,5071.7,18923.7,3269.8,15509.7,144.1,0.0,0.0,0.0,62542.0,15821.1,46303.1,417.8,0.0,0.0,0.0,361357.1,88517.5,118439.5,154400.0,0.0,0.0,0.0,50171.1,12153.2,23483.0,14534.8,0.0,0.0,0.0
2012 Jun,492682.4,487017.7,5664.7,19909.8,2925.4,16880.5,104.0,0.0,0.0,0.0,61903.2,15538.1,45760.8,604.3,0.0,0.0,0.0,361593.0,88312.0,118168.3,155112.7,0.0,0.0,0.0,49276.3,12299.1,22314.9,14662.3,0.0,0.0,0.0
2012 Jul,498728.0,493632.1,5095.9,21398.3,4298.6,16957.4,142.3,0.0,0.0,0.0,63009.5,15032.8,47464.4,512.4,0.0,0.0,0.0,365797.7,90178.9,118809.1,156809.8,0.0,0.0,0.0,48522.4,12445.3,21285.1,14792.0,0.0,0.0,0.0
2012 Aug,505588.9,500628.0,4960.8,20916.6,3270.8,17544.9,100.9,0.0,0.0,0.0,66559.2,16107.0,49851.3,601.0,0.0,0.0,0.0,368411.9,89776.8,120377.4,158257.8,0.0,0.0,0.0,49701.1,12687.3,22064.7,14949.1,0.0,0.0,0.0
2012 Sep,503955.2,498935.7,5019.5,21806.0,4111.4,17597.6,97.0,0.0,0.0,0.0,63863.6,15408.7,47974.4,480.6,0.0,0.0,0.0,369527.7,89940.3,120332.4,159254.9,0.0,0.0,0.0,48757.9,12394.6,21497.1,14866.2,0.0,0.0,0.0
2012 Oct,505004.8,499594.9,5409.9,20860.2,3302.4,17449.5,108.4,0.0,0.0,0.0,64249.1,15689.2,48103.6,456.3,0.0,0.0,0.0,371215.0,91787.2,121917.2,157510.7,0.0,0.0,0.0,48680.5,12127.6,21898.5,14654.4,0.0,0.0,0.0
2012 Nov,512948.7,507681.0,5267.7,21120.8,3328.4,17697.9,94.6,0.0,0.0,0.0,64354.1,14956.7,48970.1,427.4,0.0,0.0,0.0,377534.7,95817.4,126443.9,155273.4,0.0,0.0,0.0,49939.0,12928.4,22467.2,14543.3,0.0,0.0,0.0
2012 Dec,518840.7,513634.0,5206.7,22059.8,5183.5,16776.9,99.4,0.0,0.0,0.0,63430.6,15703.1,47298.3,429.2,0.0,0.0,0.0,383387.6,97357.2,127227.2,158803.1,0.0,0.0,0.0,49962.7,12721.8,22355.5,14885.4,0.0,0.0,0.0
2013 Jan,527897.4,522251.4,5646.0,21719.8,4075.0,17513.3,131.5,0.0,0.0,0.0,65189.6,16112.5,48634.4,442.7,0.0,0.0,0.0,389557.0,100195.1,127764.4,161597.5,0.0,0.0,0.0,51431.1,12902.3,23247.5,15281.2,0.0,0.0,0.0
2013 Feb,531065.2,524968.9,6096.3,21433.1,3900.4,17426.9,105.8,0.0,0.0,0.0,66829.7,16114.2,50123.0,592.5,0.0,0.0,0.0,390996.6,100567.5,126234.4,164194.7,0.0,0.0,0.0,51805.8,13617.0,22608.9,15580.0,0.0,0.0,0.0
2013 Mar,536539.7,530008.9,6530.8,23257.4,6178.4,16940.1,139.0,0.0,0.0,0.0,64783.1,15798.5,48623.6,361.0,0.0,0.0,0.0,397550.3,104122.3,126385.8,167042.2,0.0,0.0,0.0,50948.9,13598.8,21716.3,15633.8,0.0,0.0,0.0
2013 Apr,537033.6,531303.3,5730.3,22634.2,4685.1,17820.9,128.2,0.0,0.0,0.0,64451.9,16084.5,47939.9,427.5,0.0,0.0,0.0,397926.3,105138.6,124217.1,168570.5,0.0,0.0,0.0,52021.3,13908.6,22333.6,15779.0,0.0,0.0,0.0
2013 May,540576.6,534308.2,6268.4,22298.2,3217.0,18939.2,141.9,0.0,0.0,0.0,66761.0,17342.8,48893.3,524.9,0.0,0.0,0.0,399095.6,105946.2,124708.1,168441.2,0.0,0.0,0.0,52421.8,14255.8,22360.1,15806.0,0.0,0.0,0.0
2013 Jun,535206.6,529039.5,6167.1,23016.8,3720.6,19169.1,127.2,0.0,0.0,0.0,63229.9,17999.1,44727.5,503.4,0.0,0.0,0.0,398402.5,108622.8,123166.4,166613.3,0.0,0.0,0.0,50557.3,14237.0,20716.1,15604.1,0.0,0.0,0.0
2013 Jul,538265.0,531953.9,6311.1,23229.2,4444.1,18656.5,128.5,0.0,0.0,0.0,61857.2,17009.3,44313.0,534.8,0.0,0.0,0.0,397980.9,106555.7,124181.4,167243.8,0.0,0.0,0.0,55197.7,15473.4,24058.9,15665.3,0.0,0.0,0.0
2013 Aug,538042.7,531292.5,6750.2,23040.4,3513.9,19386.8,139.7,0.0,0.0,0.0,65777.0,17950.8,47297.5,528.7,0.0,0.0,0.0,398989.0,107575.8,124718.0,166695.3,0.0,0.0,0.0,50236.3,14655.6,19825.5,15755.1,0.0,0.0,0.0
2013 Sep,536671.1,530067.3,6603.8,22915.1,3632.2,19122.9,159.9,0.0,0.0,0.0,65184.5,17115.1,47549.0,520.4,0.0,0.0,0.0,399740.8,107459.4,124575.7,167705.7,0.0,0.0,0.0,48830.7,14185.5,19098.1,15547.1,0.0,0.0,0.0
2013 Oct,537714.9,530680.1,7034.8,24113.1,3818.4,20131.9,162.9,0.0,0.0,0.0,65177.3,17890.3,46774.9,512.1,0.0,0.0,0.0,399215.6,106220.9,125432.5,167562.2,0.0,0.0,0.0,49208.8,14195.0,19461.9,15552.0,0.0,0.0,0.0
2013 Nov,536430.4,530106.6,6323.9,24217.0,3569.4,20515.9,131.7,0.0,0.0,0.0,63649.5,18652.0,44423.4,574.1,0.0,0.0,0.0,398933.9,105940.8,127049.1,165944.0,0.0,0.0,0.0,49630.1,14296.6,19792.0,15541.5,0.0,0.0,0.0
2013 Dec,537582.9,530815.4,6767.4,23941.3,3742.4,20036.5,162.4,0.0,0.0,0.0,59461.0,17678.8,41275.3,506.9,0.0,0.0,0.0,404442.6,106962.4,129288.8,168191.4,0.0,0.0,0.0,49738.0,14293.1,19889.9,15555.0,0.0,0.0,0.0
2014 Jan,543253.9,537015.1,6238.8,24969.0,4816.4,19983.1,169.5,0.0,0.0,0.0,58874.6,18150.6,40095.1,628.9,0.0,0.0,0.0,408899.1,110357.0,129363.8,169178.3,0.0,0.0,0.0,50511.2,14067.9,20807.7,15635.6,0.0,0.0,0.0
2014 Feb,541023.4,534835.1,6188.3,24103.7,4390.1,19556.1,157.5,0.0,0.0,0.0,58031.5,17861.9,39440.8,728.8,0.0,0.0,0.0,408619.5,108462.6,128631.8,171525.1,0.0,0.0,0.0,50268.7,13481.4,20627.2,16160.1,0.0,0.0,0.0
2014 Mar,549352.1,543362.4,5989.7,30715.8,10998.7,19530.8,186.2,0.0,0.0,0.0,55136.7,19277.7,35249.6,609.5,0.0,0.0,0.0,413896.1,108924.3,130599.0,174372.8,0.0,0.0,0.0,49603.6,14130.8,19499.9,15972.8,0.0,0.0,0.0
2014 Apr,540897.8,534738.6,6159.2,24810.8,4287.3,20343.9,179.5,0.0,0.0,0.0,53240.5,18673.4,33863.3,703.9,0.0,0.0,0.0,412967.5,107851.1,129679.3,175437.0,0.0,0.0,0.0,49879.1,13992.2,19651.4,16235.5,0.0,0.0,0.0
2014 May,536570.6,530656.9,5913.6,24099.7,3538.8,20405.2,155.7,0.0,0.0,0.0,49146.4,18229.8,30225.5,691.2,0.0,0.0,0.0,412319.5,108061.7,128417.2,175840.6,0.0,0.0,0.0,51005.0,14510.4,20312.8,16181.7,0.0,0.0,0.0
2014 Jun,534979.1,528314.6,6664.5,23784.4,3908.1,19727.9,148.4,0.0,0.0,0.0,50524.6,17127.7,32823.9,573.0,0.0,0.0,0.0,411254.9,106022.2,129235.0,175997.7,0.0,0.0,0.0,49415.2,14419.7,18829.6,16165.9,0.0,0.0,0.0
2014 Jul,538769.0,531889.3,6879.8,23950.0,3855.4,19962.9,131.6,0.0,0.0,0.0,52631.0,17717.1,33942.1,971.8,0.0,0.0,0.0,412441.3,106731.6,128779.8,176929.9,0.0,0.0,0.0,49746.8,14065.1,19438.4,16243.4,0.0,0.0,0.0
2014 Aug,543955.0,536608.8,7346.2,23629.8,3614.6,19849.6,165.6,0.0,0.0,0.0,55180.0,17807.4,36748.0,624.6,0.0,0.0,0.0,414539.7,107990.2,129358.0,177191.5,0.0,0.0,0.0,50605.5,14542.6,19415.6,16647.4,0.0,0.0,0.0
2014 Sep,544633.8,537051.8,7582.1,23707.8,3688.8,19828.8,190.2,0.0,0.0,0.0,56316.5,16015.6,39691.9,609.0,0.0,0.0,0.0,415000.6,108449.6,130722.2,175828.8,0.0,0.0,0.0,49608.9,14643.5,18130.7,16834.7,0.0,0.0,0.0
2014 Oct,545592.1,537150.0,8442.1,24126.4,3954.1,19971.5,200.8,0.0,0.0,0.0,53841.6,16467.3,36780.8,593.5,0.0,0.0,0.0,417878.2,111754.5,131189.6,174934.2,0.0,0.0,0.0,49745.9,14369.5,19277.8,16098.6,0.0,0.0,0.0
2014 Nov,547039.2,538545.6,8493.7,24148.1,4094.5,19818.0,235.5,0.0,0.0,0.0,52565.4,16672.0,35357.5,535.9,0.0,0.0,0.0,419500.4,111931.6,132186.1,175382.7,0.0,0.0,0.0,50825.3,14451.8,20095.7,16277.9,0.0,0.0,0.0
2014 Dec,550363.9,541078.7,9285.2,23344.7,4544.5,18605.4,194.7,0.0,0.0,0.0,53987.9,18082.9,35467.3,437.6,0.0,0.0,0.0,423064.4,109533.4,135034.6,178496.3,0.0,0.0,0.0,49967.0,14846.4,18852.0,16268.5,0.0,0.0,0.0
2015 Jan,552071.3,543021.6,9049.7,23732.1,3783.2,19733.3,215.6,0.0,0.0,0.0,54900.7,17232.0,37148.5,520.2,0.0,0.0,0.0,423808.9,110508.3,134496.8,178803.7,0.0,0.0,0.0,49629.6,14933.7,18373.5,16322.5,0.0,0.0,0.0
2015 Feb,552479.5,544431.8,8047.7,23653.5,3826.2,19636.9,190.4,0.0,0.0,0.0,54783.4,17965.0,36290.5,527.9,0.0,0.0,0.0,424854.5,109367.2,134255.8,181231.5,0.0,0.0,0.0,49188.1,14489.4,18215.0,16483.7,0.0,0.0,0.0
2015 Mar,558791.1,550284.1,8507.1,23459.0,4574.4,18674.3,210.3,0.0,0.0,0.0,55098.5,17889.5,36443.1,766.0,0.0,0.0,0.0,431336.1,110886.2,136020.2,184429.7,0.0,0.0,0.0,48897.5,14243.3,18233.4,16420.8,0.0,0.0,0.0
2015 Apr,559573.5,550969.9,8603.6,24172.2,3495.0,20486.5,190.7,0.0,0.0,0.0,56193.4,17643.1,38040.2,510.1,0.0,0.0,0.0,429906.7,107848.8,137241.1,184816.8,0.0,0.0,0.0,49301.2,13778.9,19138.9,16383.4,0.0,0.0,0.0
2015 May,555946.7,547248.7,8698.0,23578.4,3873.1,19467.8,237.5,0.0,0.0,0.0,56376.5,17875.1,38007.8,493.7,0.0,0.0,0.0,426885.5,106946.6,135758.7,184180.2,0.0,0.0,0.0,49106.3,13556.7,19227.3,16322.3,0.0,0.0,0.0
2015 Jun,548843.6,540924.9,7918.6,24011.0,4356.3,19451.5,203.2,0.0,0.0,0.0,49189.3,16201.6,32484.1,503.7,0.0,0.0,0.0,427743.2,108182.1,135035.3,184525.8,0.0,0.0,0.0,47899.9,13776.6,17787.5,16335.8,0.0,0.0,0.0
2015 Jul,548878.4,540852.2,8026.2,24301.5,4504.0,19590.9,206.6,0.0,0.0,0.0,46452.0,16019.9,29938.1,494.0,0.0,0.0,0.0,429350.6,109323.7,135075.1,184951.8,0.0,0.0,0.0,48774.3,14093.3,18260.2,16420.8,0.0,0.0,0.0
2015 Aug,551455.1,541989.4,9465.6,25315.4,4556.1,20534.0,225.3,0.0,0.0,0.0,47302.2,17263.8,29375.8,662.6,0.0,0.0,0.0,428444.1,109421.7,134884.7,184137.7,0.0,0.0,0.0,50393.4,13979.0,19743.7,16670.7,0.0,0.0,0.0
2015 Sep,562367.1,552761.8,9605.3,26493.3,3779.8,22508.1,205.3,0.0,0.0,0.0,55165.3,15558.8,38931.1,675.3,0.0,0.0,0.0,429928.5,108615.9,137617.1,183695.5,0.0,0.0,0.0,50780.1,13835.8,20208.6,16735.7,0.0,0.0,0.0
2015 Oct,560492.4,550573.3,9919.1,27437.8,4700.8,22459.6,277.5,0.0,0.0,0.0,54727.8,15360.7,38959.1,408.0,0.0,0.0,0.0,429413.9,107984.8,139989.2,181439.8,0.0,0.0,0.0,48912.8,12856.8,19477.7,16578.3,0.0,0.0,0.0
2015 Nov,561447.3,551516.3,9930.9,27208.4,4355.2,22581.0,272.2,0.0,0.0,0.0,53886.2,15658.4,37684.6,543.2,0.0,0.0,0.0,431311.2,109975.2,140789.1,180546.9,0.0,0.0,0.0,49041.5,12826.4,19642.4,16572.7,0.0,0.0,0.0
2015 Dec,560011.4,549501.4,10509.9,25867.8,3900.0,21734.9,232.9,0.0,0.0,0.0,48973.6,15436.6,33065.0,472.0,0.0,0.0,0.0,434647.4,109639.2,141086.1,183922.1,0.0,0.0,0.0,50522.6,12977.2,20952.7,16592.7,0.0,0.0,0.0
2016 Jan,559951.7,549798.5,10153.2,27753.5,5067.2,22448.2,238.1,0.0,0.0,0.0,48988.8,14416.0,34017.3,555.5,0.0,0.0,0.0,433414.2,108473.9,141796.7,183143.6,0.0,0.0,0.0,49795.2,12966.0,20022.7,16806.5,0.0,0.0,0.0
2016 Feb,564443.2,553095.1,11348.1,29901.7,3496.5,26230.4,174.9,0.0,0.0,0.0,49520.8,14722.8,34170.6,627.5,0.0,0.0,0.0,433625.9,107256.7,143985.6,182383.6,0.0,0.0,0.0,51394.7,12967.6,21211.3,17215.8,0.0,0.0,0.0
2016 Mar,573399.2,565059.4,8339.8,31531.7,6286.0,25042.5,203.2,0.0,0.0,0.0,53340.7,14503.4,38374.4,462.9,0.0,0.0,0.0,440656.9,107595.2,147101.7,185960.0,0.0,0.0,0.0,47869.9,13227.5,18458.8,16183.6,0.0,0.0,0.0
2016 Apr,574779.5,566422.2,8357.2,29918.4,3550.9,26171.1,196.4,0.0,0.0,0.0,52280.1,15129.3,36774.9,375.8,0.0,0.0,0.0,446105.2,109513.8,150380.8,186210.6,0.0,0.0,0.0,46475.8,12842.9,17413.9,16219.1,0.0,0.0,0.0
2016 May,574591.5,565974.2,8617.3,30440.1,4506.9,25776.5,156.7,0.0,0.0,0.0,53401.3,16543.9,36344.8,512.6,0.0,0.0,0.0,444461.3,110144.8,148815.4,185501.2,0.0,0.0,0.0,46288.7,13089.5,16947.4,16251.9,0.0,0.0,0.0
2016 Jun,573086.5,565318.7,7767.8,29967.4,3429.6,26300.7,237.2,0.0,0.0,0.0,54854.9,16252.4,38153.4,449.2,0.0,0.0,0.0,442493.9,108505.1,148988.1,185000.7,0.0,0.0,0.0,45770.2,12804.7,16939.6,16026.0,0.0,0.0,0.0
2016 Jul,579971.0,571982.2,7988.8,31411.1,4212.2,26920.9,278.0,0.0,0.0,0.0,55825.2,16150.7,39007.1,667.5,0.0,0.0,0.0,446343.5,108892.2,149760.1,187691.2,0.0,0.0,0.0,46391.3,12796.6,17392.4,16202.4,0.0,0.0,0.0
2016 Aug,584106.6,576452.4,7654.2,30402.2,3953.8,26247.3,201.2,0.0,0.0,0.0,58209.8,16145.4,41528.9,535.6,0.0,0.0,0.0,448535.7,110723.4,149501.8,188310.5,0.0,0.0,0.0,46958.8,13357.6,17163.9,16437.2,0.0,0.0,0.0
2016 Sep,586245.8,578594.1,7651.6,31245.8,7294.2,23759.4,192.3,0.0,0.0,0.0,59210.0,16661.1,41829.0,719.9,0.0,0.0,0.0,449923.8,112024.4,148619.0,189280.4,0.0,0.0,0.0,45866.2,13882.9,15496.8,16486.4,0.0,0.0,0.0
2016 Oct,592508.5,584134.5,8373.9,29415.0,3481.9,25737.5,195.6,0.0,0.0,0.0,57803.2,15864.9,40985.6,952.8,0.0,0.0,0.0,458952.9,115997.2,151357.0,191598.7,0.0,0.0,0.0,46337.3,13856.8,15400.2,17080.3,0.0,0.0,0.0
2016 Nov,596536.0,588049.8,8486.2,29530.8,4098.4,25205.6,226.8,0.0,0.0,0.0,59324.5,15883.9,42384.3,1056.3,0.0,0.0,0.0,460671.9,118008.4,149215.3,193448.2,0.0,0.0,0.0,47008.8,14033.4,15744.3,17231.1,0.0,0.0,0.0
2016 Dec,596611.5,588228.6,8382.8,28590.4,4441.4,23987.9,161.2,0.0,0.0,0.0,57270.4,14849.4,41494.3,926.6,0.0,0.0,0.0,464305.9,118342.2,147316.5,198647.2,0.0,0.0,0.0,46444.7,13560.5,15665.2,17219.0,0.0,0.0,0.0
2017 Jan,599285.3,591111.5,8173.8,30221.8,4971.3,25075.7,174.8,0.0,0.0,0.0,57266.0,15012.4,41439.9,813.7,0.0,0.0,0.0,464274.5,117120.7,147657.6,199496.1,0.0,0.0,0.0,47523.0,14148.2,15962.8,17411.9,0.0,0.0,0.0
2017 Feb,601645.4,593135.3,8510.1,30283.3,4185.1,25949.3,149.0,0.0,0.0,0.0,57945.0,15409.5,41702.1,833.3,0.0,0.0,0.0,464821.1,116654.5,146042.6,202124.0,0.0,0.0,0.0,48596.0,15667.1,15518.1,17410.8,0.0,0.0,0.0
2017 Mar,609852.0,600809.8,9042.2,31277.2,7859.7,23274.4,143.1,0.0,0.0,0.0,59622.3,15618.2,43023.4,980.8,0.0,0.0,0.0,472279.9,117970.0,149177.0,205132.8,0.0,0.0,0.0,46672.6,13576.7,15587.4,17508.5,0.0,0.0,0.0
2017 Apr,606805.6,597961.7,8843.9,28848.6,4519.4,24191.4,137.8,0.0,0.0,0.0,58868.8,15446.1,42261.4,1161.3,0.0,0.0,0.0,472944.3,119049.3,148994.9,204900.1,0.0,0.0,0.0,46144.0,13170.9,15480.5,17492.5,0.0,0.0,0.0
2017 May,607245.9,598879.3,8366.6,28971.2,4848.4,23926.5,196.2,0.0,0.0,0.0,59603.4,15787.0,42802.5,1013.9,0.0,0.0,0.0,472587.5,119578.0,148036.0,204973.6,0.0,0.0,0.0,46083.8,13569.6,15103.4,17410.8,0.0,0.0,0.0
2017 Jun,606335.1,598064.0,8271.1,29272.5,4548.4,24563.8,160.2,0.0,0.0,0.0,57223.0,15882.9,40546.7,793.4,0.0,0.0,0.0,474248.2,125696.6,148635.2,199916.4,0.0,0.0,0.0,45591.4,14366.8,15273.0,15951.6,0.0,0.0,0.0
2017 Jul,608589.7,599859.7,8730.0,28477.0,4008.3,24284.4,184.3,0.0,0.0,0.0,57702.0,16116.8,40376.6,1208.6,0.0,0.0,0.0,476241.1,126418.0,149519.2,200303.9,0.0,0.0,0.0,46169.6,14389.4,16036.8,15743.4,0.0,0.0,0.0
2017 Aug,609028.7,601392.7,7636.0,28319.0,3298.1,24872.6,148.2,0.0,0.0,0.0,59405.2,16197.4,41956.1,1251.7,0.0,0.0,0.0,475381.7,126527.9,148195.6,200658.3,0.0,0.0,0.0,45922.7,14770.2,15920.0,15232.5,0.0,0.0,0.0
2017 Sep,606843.6,599558.1,7285.5,28500.0,3856.0,24525.3,118.8,0.0,0.0,0.0,59048.1,16113.3,41901.1,1033.6,0.0,0.0,0.0,475888.5,128405.9,146988.0,200494.6,0.0,0.0,0.0,43407.0,14297.5,14017.4,15092.1,0.0,0.0,0.0
2017 Oct,610291.1,602292.7,7998.5,29222.7,4302.6,24737.5,182.6,0.0,0.0,0.0,58753.1,15549.3,41930.9,1272.9,0.0,0.0,0.0,478843.2,131119.3,147122.1,200601.8,0.0,0.0,0.0,43472.2,14399.9,13984.1,15088.2,0.0,0.0,0.0
2017 Nov,607532.9,599684.8,7848.1,30849.6,5326.6,25350.5,172.5,0.0,0.0,0.0,56653.9,15694.5,39301.1,1658.3,0.0,0.0,0.0,476794.6,130531.8,146454.9,199807.8,0.0,0.0,0.0,43234.8,14043.9,14322.0,14869.0,0.0,0.0,0.0
2017 Dec,606386.9,598533.0,7853.9,27776.8,4961.1,22668.4,147.3,0.0,0.0,0.0,56846.5,15650.3,40071.0,1125.3,0.0,0.0,0.0,479114.4,129217.2,146656.1,203241.1,0.0,0.0,0.0,42649.3,14103.0,13745.7,14800.6,0.0,0.0,0.0
2018 Jan,607280.5,599889.6,7390.8,24972.9,4381.2,20407.5,184.2,0.0,0.0,0.0,57412.1,15986.4,40169.3,1256.4,0.0,0.0,0.0,481662.3,130534.7,147824.0,203303.6,0.0,0.0,0.0,43233.1,14702.6,13672.1,14858.4,0.0,0.0,0.0
2018 Feb,604795.8,596888.0,7907.8,23892.7,3930.6,19803.2,158.8,0.0,0.0,0.0,57224.9,16256.5,40011.7,956.8,0.0,0.0,0.0,480762.2,129682.2,147624.2,203455.9,0.0,0.0,0.0,42915.9,14641.3,13456.7,14817.9,0.0,0.0,0.0
2018 Mar,613649.6,605531.9,8117.7,28236.1,7306.5,20791.6,138.1,0.0,0.0,0.0,55982.8,16042.5,38856.8,1083.6,0.0,0.0,0.0,486802.2,131862.0,149328.7,205611.5,0.0,0.0,0.0,42628.4,15017.3,12771.1,14839.9,0.0,0.0,0.0
2018 Apr,614466.9,606572.3,7894.6,27183.5,4589.7,22454.7,139.0,0.0,0.0,0.0,55669.9,19028.2,35484.2,1157.6,0.0,0.0,0.0,488669.5,130933.0,151331.6,206404.8,0.0,0.0,0.0,42944.0,14626.2,13470.2,14847.6,0.0,0.0,0.0
2018 May,615313.9,606656.6,8657.3,27694.8,4528.5,23064.2,102.1,0.0,0.0,0.0,54568.3,16314.9,37030.3,1223.2,0.0,0.0,0.0,488154.6,130712.3,151830.5,205611.7,0.0,0.0,0.0,44896.2,15296.6,14424.6,15175.0,0.0,0.0,0.0
2018 Jun,610706.0,601993.7,8712.2,26479.4,3821.8,22489.2,168.4,0.0,0.0,0.0,52595.5,15693.4,35612.9,1289.2,0.0,0.0,0.0,488472.7,129281.3,154274.9,204916.4,0.0,0.0,0.0,43158.5,14439.4,13567.5,15151.5,0.0,0.0,0.0
2018 Jul,617262.1,608150.9,9111.2,30405.3,7289.9,22940.9,174.4,0.0,0.0,0.0,51863.8,15367.6,35686.0,810.2,0.0,0.0,0.0,491935.8,129212.7,157980.1,204743.0,0.0,0.0,0.0,43057.2,14856.5,12868.0,15332.7,0.0,0.0,0.0
2018 Aug,622637.1,614187.8,8449.3,29213.0,3324.9,25731.1,156.9,0.0,0.0,0.0,59115.8,15758.9,42491.3,865.6,0.0,0.0,0.0,491513.1,129236.7,159527.9,202748.5,0.0,0.0,0.0,42795.2,14853.5,13286.2,14655.5,0.0,0.0,0.0
2018 Sep,621633.1,613054.4,8578.7,29931.8,4673.2,25099.8,158.9,0.0,0.0,0.0,59449.5,15690.8,42980.2,778.6,0.0,0.0,0.0,490127.1,126580.1,161619.0,201927.9,0.0,0.0,0.0,42124.7,14592.6,13102.9,14429.2,0.0,0.0,0.0
2018 Oct,623496.0,615056.7,8439.3,30682.3,5492.8,25003.6,185.9,0.0,0.0,0.0,58438.9,14692.9,42997.5,748.5,0.0,0.0,0.0,492542.2,129084.9,161795.0,201662.3,0.0,0.0,0.0,41832.5,14137.3,13352.9,14342.3,0.0,0.0,0.0
2018 Nov,624178.2,615431.1,8747.2,31388.8,5269.1,25976.0,143.6,0.0,0.0,0.0,59243.5,15076.7,43390.5,776.3,0.0,0.0,0.0,490062.7,128302.7,160750.5,201009.6,0.0,0.0,0.0,43483.2,13919.3,14752.4,14811.5,0.0,0.0,0.0
2018 Dec,627768.2,619048.3,8719.9,30329.6,4762.5,25436.5,130.6,0.0,0.0,0.0,62013.7,15038.8,46200.3,774.6,0.0,0.0,0.0,492146.0,127270.6,160789.4,204086.0,0.0,0.0,0.0,43278.9,14326.2,14140.4,14812.3,0.0,0.0,0.0
