Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 
      Administrative & Support Services,107.7,104.3,104.7,105.7,104.1,102.6,100,97.9,95.3,93.8,90.9,92.4,87.5,86.2,86.3,83.2,81.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Services Industries,108,105.3,107.5,107.3,105.1,102.2,100,97.2,94.8,90.1,88.8,84.1,79.3,80.7,77.5,74.3,72.5,73,71.2,71.6,70,68.1,64.9,67.2,68.9,68.4,66.5,66.6,62.7,61.1,59.8,57.1,55.6,51.9,48.6,49.6,52.4,49.9,47.1,44.5,38.2,34.7,32.5,30.7,30.4,29.9,29.3,28.4,24.1,22.3,21.7,20.5,20.4,20.3,20.2,20.4,20.3,20.2,20.2,19.7,19.3,18.6
  Ownership Of Dwellings,86.4,85.8,85.3,85.5,88,92.8,100,102.8,103.5,97.8,88.2,76,69.5,69.2,54.5,48.4,44.4,41.3,43.5,41.9,46.5,45.8,48.9,57.7,60.1,57.3,52.3,47.5,40.2,35.9,32.7,30.8,28.7,26.5,25.4,22.7,24.5,24.2,24.2,24.7,24.8,24.8,25,24.7,23.8,23.4,23.1,23.1,22.2,20,18,14.9,13.6,13.4,14.1,14.4,14.7,15.3,15.3,15.6,16.3,16.8
  Gross Value Added At Basic Prices,107.7,104.3,107.8,107.9,103.6,100.7,100,96.9,97,98,97.6,97.1,97,93.9,95.7,91.5,89.6,87.5,83.8,85.5,85.7,86.7,84.2,88,88.5,87.6,86,83.5,81.7,79.5,78.9,75.6,71.8,69.3,66,65.9,66.6,67.6,67.2,65.3,62.4,59,53,50.3,48.4,47.5,46.8,45.5,39,34.4,32.4,30.9,30.4,29.8,29.5,29.4,28.8,28.5,28.4,28.1,28,27.9
  Add: Taxes On Products,106.3,90,87.3,91.8,98.4,96.4,100,99.6,101.6,93,90.5,79.5,64.9,67.2,62.1,47,48.8,52.2,54.6,54.4,61.1,68.7,58.6,52.8,61,60.3,62.7,59.3,46.8,40.8,35.1,33.8,35.3,31.2,26.3,23.9,25.6,26,24.6,22.3,22,20.6,19.3,18.5,17.3,16.5,15.7,14.9,14,12.7,12.5,12.4,12,11.5,10.1,10,9.9,9.8,9.7,9.6,9.6,9.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP -> Goods Producing Industries -> Other Goods Industries (Index):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other goods industries comprise agriculture, fishing and quarrying.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aggregate value of the goods and services produced in the economic territory of Singapore. The GDP estimates are compiled based on the output (or production), expenditure and income approaches. See Output-based GDP, Expenditure-based GDP and Income-based GDP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product Deflators:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A broad measure of the change in the overall level of prices of the goods and services that make up GDP. The deflators are derived as the ratio of the nominal value of a component of GDP to its corresponding real value, with the reference year index set at 100.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Added:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross value added is derived by the output or income approach. 
The output approach measures value added as output less intermediate consumption.  Output refers to the value of goods and services produced  while intermediate consumption is value of goods and services consumed as inputs by a process of production, e.g. materials, utilities, fuel, rental paid for premises and equipment, banking and financial charges and other operating costs.
The income approach derives value added as the sum of incomes generated from the domestic production of goods and services, which comprise gross operating surplus, remuneration and taxes (less subsidies) on production. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
