Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 
      Administrative & Support Services,16779.1,17448,20955.1,25049.3,24140.7,22727.1,19666.3,16812.7,15106,13774,12914,10477,9064.3,9116.2,7722.4,6476.8,5850.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Services Industries,48794.8,46360.9,50458.9,48966.4,47937.2,46517.2,44974.4,43895.2,42501.1,41676.6,40439.6,38587.5,34005.4,32156,31212,30323,28730.4,27621.8,26629.5,26271.4,24932.4,23124.6,21136.5,20115.4,19436.4,17942.1,16436.3,15372.2,13996.6,13001.9,12243.3,11469,10596.9,9823.4,9397.3,8711.1,8223,7871.3,7454.2,6910.8,6338.1,6043.5,5731.4,5469.6,5080.5,4959.7,4779.8,4381.7,4127.2,3862.1,3588.3,3332.6,3020.9,2843.9,2620.5,2478,2294.1,2165.6,2095.9,1948.1,1856.7,1776.7
  Ownership Of Dwellings,21911.3,21885.7,21643.1,20754.1,19805.4,18944.7,18100.1,17304.6,16662.5,16109.8,15417.9,14937,14897.5,14697.2,14582.1,14496.2,14220.3,13957.2,13735.1,13609.9,12957,12559.9,11694.4,10773.2,9841.9,9401.6,9109.7,8798.1,8419.9,8103.6,8018.9,7861.8,7831,7291.6,6848.9,6233,5503.5,4773.1,3481.4,2428.7,2537.1,1937.9,1840.4,1703,1644.7,1546.4,1463.2,1402.8,1308.9,1254.4,1108.9,1049.1,907.5,794.2,685.1,632.1,572.7,529.8,513.9,488.5,450.6,410.7
  Gross Value Added At Basic Prices,467454.6,435711.5,451276.7,446777,429655.9,410946,399187.4,389424,373823.4,354801,339476.9,318149.7,276628.7,276466.5,268682.6,247425.4,226879.3,211061.4,192087.5,183803.6,176585.8,178084.3,163378.4,154729.2,157563,145374,135004.5,125826,112987.6,101446.1,95229,88977.5,80921.1,73699.6,66231.8,59834.5,59031.9,59414.2,54538.9,50221.5,46891.2,42254.2,38376.4,35073.4,32529.4,30457.3,28312.2,27183.5,25473,23015,20326,17993.3,15822.6,13915.2,12183.6,10757.6,9775.9,9126.5,9453.3,8553.4,7944.2,7317.6
  Add: Taxes On Products,28159.7,24626.5,29724.5,28942.9,29331.6,27579.9,24256.7,21828.8,21818.8,22755.8,22064.8,22562.3,21469.9,21175.1,24989.7,21020.5,19472,18557.6,16713,15871.7,15663.7,16354.5,14918.7,13798.3,15025.1,14004.5,13392,12692.3,11899.3,10529.1,9650.3,9675.2,9012.3,7645.5,6888.7,6059.2,6004.1,6009.7,5725.1,5331,4977.4,4664.5,4228,3739.7,3506.7,3241.3,3110.9,3137.1,3356.2,3077.8,2675.9,2600.2,2203.6,1895.9,1884.6,1884.6,1675.1,1375.9,1318.5,1308,1241,1220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Disaggregated chain-linked data generally do not add up to the total. For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP In Chained (2015) Dollars -> Goods Producing Industries -> Other Goods Industries (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other goods industries comprise agriculture, fishing and quarrying.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
