Data Series,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q 
Gross External Debt,2441891.5,2390923.1,2326407,2265002.1,2268249.7,2266976.4,2245667.9,2299282.5,2432739.8,2172999.8,2190583.6,2158525.6,2100978.5,2091743.4,2086525.2,2148980.5,2077970.6,2008918.2,1979679.7,1947463.9,1943035.6,1937439.9,1870789.3,1856504.6,1840974.2,1817155.6,1864880.8,1792234.1,1846688.6,1779546.3,1748558.1,1726152.8,1687233.4,1678111.3,1612479.3,1589994.2,1554561.4,1524667.9,1504075.9,1503888.9,1476893.3,1490737.6,1528617.8,1416976.2,1409657.8,1363557,1359018.1,1332826.3,1308273.6,1264936.7,1269995.3,1304543.3,1324864.6,1359984.9,1430293.3,1377357.2,1427394.3,1329810.6,1245657.1,1175038.7,1109120.4,1065423.1,1058533.9,1045928.1,991356.2,1021682.9,998052.9,978116.4,958062.2,942763.7,924066.1,921129.1,913613.7,858357,856265.3,854184
      Short-Term,1346201,1367335.6,1296511.3,1280603.9,1256914.1,1245196.9,1226661.7,1276150.1,1366401.9,1245075.5,1251931.6,1251438.2,1246652.8,1254134.1,1229547,1283228.8,1247415.6,1205340.1,1165871.8,1129928.2,1158374.7,1146492.7,1114402,1105688.4,1102168.9,1133983.4,1184601.8,1140115.8,1180051.4,1155988,1130033.3,1140246.5,1122075.2,1113891.9,1053781.8,1038052.1,1021188.6,998801,981853.6,988783.4,962364.3,984450.8,1011183,937169.2,946958,921625.2,916554,922292.9,911724.5,882978,894426.9,935730.9,937014.6,961993.8,1058550.6,1016531.3,1063449.1,1016764.8,944809,892622.7,849462.2,817514.2,817327.4,807410.5,757116.7,798170.6,766675.3,736806.6,720909.5,737753.3,727524.2,728572.6,717347.8,669288.9,666050.8,672955.5
        Loans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Debt Securities,27484.7,32259.4,24850.3,17232.5,12932.1,16494.3,16314.4,19677.7,20564.8,21255.8,21534.8,24197.5,20997.3,21418.9,22099.4,20245.3,19416.1,20394.7,17676.2,16978,13862.1,12018.3,12140,12794.9,8320.3,7522.5,10048.4,9600.6,11533.3,13474.6,13100.8,12918.9,11436.1,10238.5,9984.2,5272.1,4486.9,3591.3,3393.8,4663,2712.4,1881,2907.2,2872.6,2859.5,2026.4,1849.7,2158.3,1603.4,1631.1,2071,2157,2220.4,1869.5,2030,2068.9,3747.8,4265.8,4609.2,5605.3,5743.1,5881.5,6875.2,5851.9,5203,4084.5,4735.4,5202.9,6588.8,3721.7,3774.1,3061.1,2830.7,2308.6,2631.6,1773.4
        Currency And Deposits,1307011.9,1321327,1257297.1,1255235.6,1234766.6,1218949.2,1199978.7,1246097.4,1337169.4,1216896.8,1223549.7,1220200,1218761.7,1225482.7,1200129.4,1255610.1,1220579.5,1177535.4,1141312.7,1106157.2,1137640.5,1127737.6,1096532.9,1087402.6,1088238.8,1120889.7,1169167.1,1125502.8,1163617.2,1137726.2,1112558.1,1122879.3,1106155.4,1099077.2,1039369.2,1028495,1012303.1,990715.3,974074.9,979657.6,955299,978247.6,1004099.6,930311.8,939956.1,915231.4,910268.8,915834.5,905493.2,876537.1,887369.6,927925.6,929138.7,954009.5,1051207.6,1008939.7,1053297.2,1005315.9,933410.9,880515.5,837531.8,805192,804472.3,795764.8,746362.6,788129.1,756121.9,725234.6,707843.7,726983.7,716477.3,717751.5,706242,657716.1,653579,660214.1
        Others,11704.4,13749.2,14363.9,8135.8,9215.4,9753.4,10368.6,10375,8667.7,6922.9,6847.1,7040.7,6893.8,7232.5,7318.2,7373.4,7420,7410,6882.9,6793,6872.1,6736.8,5729.1,5490.9,5609.8,5571.2,5386.3,5012.4,4900.9,4787.2,4374.4,4448.3,4483.7,4576.2,4428.4,4285,4398.6,4494.4,4384.9,4462.8,4352.9,4322.2,4176.2,3984.8,4142.4,4367.4,4435.5,4300.1,4627.9,4809.8,4986.3,5648.3,5655.5,6114.8,5313,5522.7,6404.1,7183.1,6788.9,6501.9,6187.3,6440.7,5979.9,5793.8,5551.1,5957,5818,6369.1,6477,7047.9,7272.8,7760,8275.1,9264.2,9840.2,10968
      Long-Term,189550.4,183692.3,194494.4,182541.3,207719.4,219669.3,224838.6,229861.2,255492.2,145339.8,159010.4,135216.4,114081.1,108422.4,110583.8,107326.8,94565.5,88081.5,90002,93830.4,87229.1,106869.5,100820.3,118549.7,121921.3,105141.9,120729.1,90764.3,100917.9,86614.5,80612,67318.8,69476.2,74805,76441.7,81032.7,73751.1,71578.4,73339.4,72405.7,71796.6,77322,94747.7,70418.7,67801,70471.9,80318.3,71397.5,69703.8,67957.7,72665.9,72304.4,90983.9,98556.2,80021.6,64732.6,69185.8,49158.5,49238.6,44723.3,38259.9,37059.9,33570.2,34100.2,35045.4,30449.4,33225.8,31663.9,29426.6,30437.4,25188.2,24227.2,33713.9,29517.4,31864.9,29616.7
        Loans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Debt Securities,6925.1,8170.9,1775.5,935.7,792.1,682.4,741.9,696.8,765.5,770.6,837.7,547,546.9,546,548.5,585.2,584.6,592,598.9,851.2,1049.4,931.9,965.9,959.4,1222.8,2314.8,2332,2063.3,2040,2232.7,2242.9,2328.8,2048.7,2178.3,1580.2,1886,1031.4,1020,1126.9,644.6,633.6,748.4,758.7,733.8,794.8,725.2,1309.7,1295.3,1344.7,1490.4,1484.7,1520.8,1472.5,1323.5,1317.2,1318.9,1427.1,1548.4,1515.4,1529.9,1533.4,1516.3,1500.6,1188.6,1171.1,1105.6,1451.6,1296,1011.5,1005.2,963.5,723.4,687.2,670.4,666.6,681
        Others,182625.3,175521.4,192718.9,181605.6,206927.3,218986.9,224096.7,229164.4,254726.7,144569.2,158172.7,134669.4,113534.2,107876.4,110035.3,106741.6,93980.9,87489.5,89403.1,92979.2,86179.7,105937.6,99854.4,117590.3,120698.5,102827.1,118397.1,88701,98877.9,84381.8,78369.1,64990,67427.5,72626.7,74861.5,79146.7,72719.7,70558.4,72212.5,71761.1,71163,76573.6,93989,69684.9,67006.2,69746.7,79008.6,70102.2,68359.1,66467.3,71181.2,70783.6,89511.4,97232.7,78704.4,63413.7,67758.7,47610.1,47723.2,43193.4,36726.5,35543.6,32069.6,32911.6,33874.3,29343.8,31774.2,30367.9,28415.1,29432.2,24224.7,23503.8,33026.7,28847,31198.3,28935.7
    Other Sector,517137.5,490298.9,476694.9,457904.4,448006.6,424806.7,418579.6,418369.9,433850.1,407549.7,410156.4,413961.4,398712.8,391777.1,401380.2,416859.5,392682.9,368339.1,382909.9,390908.9,370034.1,363846.4,342357.7,326018,309798.4,323783.9,305526.6,305371.1,308408.4,306252.7,320684,311196.2,297419,305121.1,303843,291899.5,285477.5,282962.2,272865.5,270193.8,271493.5,263859.7,264170,257302.3,249282.8,231579.4,223640.2,205533.5,198689.4,190093.4,175736.7,168839.6,166772.8,166691.5,167425,172539.8,177550.2,169865.3,162210,153838.8,142848,135156.3,136808.5,138825.8,136372.7,134941.9,130910.3,129196.9,126286.3,123318.5,119283.7,117222.8,112754,112598.2,112463.4,107697.3
