Data Series,IPI_all_items_base_2018
2020-01,97.011
2020-02,97.151
2020-03,92.042
2020-04,87.985
2020-05,87.737
2020-06,90.611
2020-07,92.324
2020-08,92.159
2020-09,91.114
2020-10,90.992
2020-11,91.761
2020-12,93.418
2021-01,95.23
2021-02,97.788
2021-03,99.78
2021-04,99.253
2021-05,99.757
2021-06,101.837
2021-07,104.028
2021-08,104.021
2021-09,105.923
2021-10,109.186
2021-11,108.791
2021-12,107.056
2022-01,110.101
2022-02,113.838
2022-03,121.679
2022-04,124.37
2022-05,126.569
2022-06,124.933
2022-07,119.365
